Channel1,Channel2,Auto Threshold B,Pearson's Coefficient,Thresholded M1,Thresholded M2,Prot1,Prot2,Sample,Rep,Area A,Area B
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.948,0.651,0.947,TMEM9,CLCN3,well3,3,111.426,66.992
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.969,0.931,0.942,TMEM9,CLCN3,well3,3,141.491,139.07
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.879,0.702,0.818,TMEM9,CLCN3,well3,3,91.86,73.638
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.971,0.88,0.965,TMEM9,CLCN3,well3,3,122.914,106.711
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.961,0.924,0.871,TMEM9,CLCN3,well3,3,355.192,390.153
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.887,0.907,0.886,TMEM9,CLCN3,well3,3,112.609,117.54
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.915,0.855,0.921,TMEM9,CLCN3,well3,3,452.865,407.641
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.923,0.829,0.876,TMEM9,CLCN3,well3,3,264.354,246.888
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.86,0.874,0.763,TMEM9,CLCN3,well3,3,99.554,111.616
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.883,0.561,0.833,TMEM9,CLCN3,well3,3,138.918,77.478
