Crosslink.Type,Gene1.order,Gene2.order,Final_annot,Final_annot,Complex1,Complex1.1
Intra,A0A1B0GUL7,A0A1B0GUL7,Other,Other,,
Inter,A0A1B0GUL7,ODAD1,Other,Other,,
Inter,A0A2R8YFR7,EEA1,Other,Endosome,,
Inter,A0A8I5KIY5,LCLAT1,Other,Other,,
BN,A1BG,TMEM163,Other,Other,,
BN,A2M,INSR,Other,Other,,Sam68-p85 P13K-IRS-1-IR signaling complex
BN,A2M,NEXN,Other,Other,,
BN,A2M,OVOS2,Other,Other,,
BN,A2M,PODXL,Other,Endosome,,
BN,A2M,PZP,Other,Other,,
BN,A2ML1,CASP14,Other,Other,,
BN,A2ML1,CPA4,Other,Other,,
BN,A2ML1,GGCT,Other,Other,,
BN,A2ML1,KRT77,Other,Other,,
BN,A2ML1,TGM3,Other,Other,,
Inter,A8MVJ9,GATAD2A,Other,Nucleus,,
Inter,A8MVM7,TXNDC12,Other,Other,,
Inter,AACS,EEA1,Other,Endosome,,
Intra,AAMDC,AAMDC,Other,Other,,
Inter,AAR2,EHHADH,Other,Mito,,
Inter,AARS1,CLTC,Other,Endosome,,PI4K2A-WASH complex
Inter,AARS1,RPN1,Other,Endosome,,Oligosaccharyltransferase complex (Stt3A variant)
Intra,AASDHPPT,AASDHPPT,Other,Other,,
Inter,AASS,EEA1,Mito,Endosome,,
Inter,AATF,DISC1,Nucleus,Other,,
Inter,AATF,NGDN,Nucleus,Other,,
BN,ABCA1,ABCA2,Other,Lyso,,
BN,ABCA1,IGF2R,Other,Endosome,,
BN,ABCA1,IGSF3,Other,Other,,
BN,ABCA1,TSLP,Other,Other,,
Inter,ABCA12,EEA1,Other,Endosome,,
Inter,ABCA12,GATAD2B,Other,Nucleus,,
Inter,ABCA12,HDAC1,Other,Nucleus,,
Inter,ABCA13,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,ABCA13,PMS1,Other,Nucleus,,
Intra,ABCA2,ABCA2,Lyso,Lyso,,
BN,ABCA2,ABI2,Lyso,Other,,
BN,ABCA2,IGF2R,Lyso,Endosome,,
BN,ABCA2,IGSF3,Lyso,Other,,
BN,ABCA2,TSLP,Lyso,Other,,
BN,ABCA2,WASF1,Lyso,Other,,
BN,ABCA3,ABCC2,Lyso,Other,,
BN,ABCA3,TMEM30A,Lyso,Other,,
Intra,ABCA5,ABCA5,Other,Other,,
BN,ABCA5,STXBP5,Other,Other,,
Inter,ABCA8,FZD6,Other,Other,,
Inter,ABCA9,EEA1,Mito,Endosome,,
Intra,ABCB1,ABCB1,Endosome,Endosome,,
Inter,ABCB1,ALOX15,Endosome,Other,,
BN,ABCB1,ATP11C,Endosome,Endosome,,
Inter,ABCB1,BCHE,Endosome,Other,,
Inter,ABCB1,CDK9,Endosome,Other,,
Inter,ABCB1,PGM2,Endosome,Other,,
BN,ABCB1,PLEKHM2,Endosome,Other,,
Inter,ABCB1,Q9BRP9,Endosome,Other,,
Inter,ABCB1,RAB5C,Endosome,Endosome,,
Inter,ABCB1,TUFM,Endosome,Mito,,
Inter,ABCB1,UBC,Endosome,Other,,
Inter,ABCB1,VAMP3,Endosome,Endosome,,SNARE complex
Inter,ABCB1,VPS13A,Endosome,Other,,
Intra,ABCB10,ABCB10,Mito,Mito,,
BN,ABCB5,ABCB6,Other,Mito,,
BN,ABCB5,KCNK5,Other,Other,,
BN,ABCB5,SRC,Other,Endosome,,
Intra,ABCB6,ABCB6,Mito,Mito,,
Inter,ABCB6,AP2B1,Mito,Endosome,,
Inter,ABCB6,BCS1L,Mito,Mito,,
Inter,ABCB6,CLCN7,Mito,Lyso,,
BN,ABCB6,KCNK5,Mito,Other,,
BN,ABCB6,SRC,Mito,Endosome,,
Inter,ABCB6,STX7,Mito,Endosome,,
Inter,ABCB6,UBC,Mito,Other,,
BN,ABCC1,NEO1,Other,Other,,
BN,ABCC1,TBC1D9,Other,Other,,
Inter,ABCC11,VTI1A,Other,Endosome,,SNARE complex
Inter,ABCC12,EIF3A,Other,Other,,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)"
BN,ABCC2,ABCC4,Other,Other,,
BN,ABCC2,ATP11C,Other,Endosome,,
Inter,ABCC2,EEA1,Other,Endosome,,
BN,ABCC2,HSP90AB2P,Other,Other,,
BN,ABCC2,TMEM30A,Other,Other,,
BN,ABCC4,ATP11C,Other,Endosome,,
BN,ABCC4,HSP90AB2P,Other,Other,,
BN,ABCC4,TMEM30A,Other,Other,,
Inter,ABCC9,ESF1,Other,Nucleus,,
Intra,ABCD3,ABCD3,Mito,Mito,,
Inter,ABCD3,EEA1,Mito,Endosome,,
Inter,ABCD4,LMBRD1,Lyso,Lyso,,
Inter,ABCD4,SEC14L2,Lyso,Other,,
BN,ABCE1,WASF2,Other,Other,,Wave-2 complex
Intra,ABCF1,ABCF1,Other,Other,,
Inter,ABCF1,CHD4,Other,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,ABCF1,EEA1,Other,Endosome,,
Intra,ABCF2,ABCF2,Other,Other,,
Inter,ABCF3,ARID1A,Other,Nucleus,,
Inter,ABCG1,DIDO1,Other,Other,,
BN,ABCG2,ATP8A1,Other,Other,,
BN,ABCG2,CRAT,Other,Mito,,
BN,ABCG2,NAGPA,Other,Golgi,,
BN,ABCG2,PCSK7,Other,Golgi,,
BN,ABCG2,PRKAA1,Other,Endosome,,v-ATPase-Ragulator-AXIN/LKB1-AMPK complex
BN,ABCG2,TRIM28,Other,Nucleus,,
Inter,ABCG8,GATAD2B,Other,Nucleus,,
BN,ABHD10,BTD,Mito,Other,,
BN,ABHD10,IDS,Mito,Lyso,,
BN,ABHD10,REEP5,Mito,Endosome,,
BN,ABI1,ABI2,Endosome,Other,Wave-2 complex,
BN,ABI1,CYFIP1,Endosome,Other,Wave-2 complex,Wave-2 complex
BN,ABI1,NCKAP1,Endosome,Other,Wave-2 complex,Wave-2 complex
BN,ABI1,WASF2,Endosome,Other,Wave-2 complex,Wave-2 complex
BN,ABI2,CYFIP1,Other,Other,,Wave-2 complex
BN,ABI2,CYFIP2,Other,Other,,
BN,ABI2,IGF2R,Other,Endosome,,
BN,ABI2,MCOLN2,Other,Lyso,,
BN,ABI2,NCKAP1,Other,Other,,Wave-2 complex
BN,ABI2,TSLP,Other,Other,,
BN,ABI2,WASF1,Other,Other,,
Inter,ABI3BP,RPS18,Other,Other,,"Ribosome, cytoplasmic"
Inter,ABL2,EEA1,Other,Endosome,,
Inter,ABL2,MYO5A,Other,Endosome,,
BN,ABLIM2,CSF1R,Other,Other,,
BN,ABLIM2,NCKAP5L,Other,Other,,
BN,ABLIM2,SMC1A,Other,Nucleus,,
Inter,ABLIM3,RYR2,Other,Other,,
Inter,ABRA,SNRPG,Other,Other,,C complex spliceosome
Inter,ABTB1,CAPRIN1,Other,Other,,
Intra,ACACA,ACACA,Mito,Mito,,
Intra,ACAD11,ACAD11,Mito,Mito,,
BN,ACAD11,AFDN,Mito,Other,,
BN,ACAD11,ITGA3,Mito,Endosome,,
BN,ACAD11,ITGA4,Mito,Other,,
